ID,Judul,Deskripsi,Genre,Rating,Popularitas,Tanggal
969681,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,"Science Fiction, Action, Adventure",7.864,653.7739,2026-07-29
1423191,Resident Evil,"Medical courier Bryan unwittingly finds himself fighting for survival as one fateful, horrifying night collapses around him in chaos.","Horror, Science Fiction, Adventure",7.313,584.55,2026-09-16
1101383,The End of Oak Street,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings.","Science Fiction, Mystery, Thriller",7.011,485.8521,2026-08-12
1204680,Coyote vs. Acme,"After Acme products fail him one too many times in his dogged pursuit of the Roadrunner, Wile E. Coyote decides to hire a billboard lawyer to sue the Acme Corporation.","Comedy, Adventure, Family",7.521,409.4076,2026-08-20
1368337,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.","Adventure, Action, Fantasy",8.016,346.9968,2026-07-15
1375646,Colony,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.","Action, Horror, Science Fiction",8.085,290.1781,2026-05-21
1294189,The Mongoose,"A falsely accused war hero with nothing to lose leads police on an epic televised cross-country car chase, helped by members of his former Special Forces Army battalion and closely monitored by a fascinated public rooting for his safe getaway.","Action, Thriller",0.0,266.5748,2026-10-29
1288445,Mutiny,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.","Action, Thriller",6.424,229.0152,2026-08-19
1482547,Zip Wire,"When her ground-breaking pharmaceutical discovery is stolen and partner murdered, researcher Amy must face her fear of heights to escape nefarious attackers, with the only path to salvation being a treacherous aerial runway. To outsmart the mysterious hostiles, she has to summon every ounce of courage to protect the world-changing scientific discovery — and herself — before it's too late.","Action, Thriller",7.615,195.9197,2026-08-31
1285366,Shape of My Heart,"A romance about a man and a woman who, due to an unexpected event, end up switching bodies. Despite coming from completely different backgrounds and environments, the two try to overcome the various difficulties that arise from their body swap.",Romance,5.688,145.3021,2024-07-06
1108427,Moana,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.","Family, Fantasy, Comedy, Adventure",7.425,183.5472,2026-07-08
1440098,Drawn Together,"Marfil, daughter of a powerful Spanish businessman, sees her life in New York turned upside down when she is kidnapped and released without explanation. Her father hires Sebastian Moore as bodyguard and, forced to spend every minute together, an inevitable attraction ignites in a world where nothing is as it seems.","Romance, Thriller",6.662,148.2249,2026-09-09
1084244,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","Animation, Family, Comedy, Adventure",8.359,146.8947,2026-06-17
